YKL012W YMR125W
YGR085C YLR029C
YPL016W YPL082C
YFR032C-A YOR312C
YDL098C YJR022W
YIL061C YML049C
YJL058C YOL078W
YDL176W YDR255C
YBR191W YOR063W
YDR382W YNL301C
YHR141C YJL177W
YGR206W YPL065W
YDR028C YNL317W
YBR198C YIL126W
YLR441C YPL090C
YJL148W YOR116C
YLR325C YOL039W
YGR275W YLR071C
YGL030W YLR344W
YOR061W YOR123C
YGL030W YOR312C
YLR270W YOR173W
YMR112C YPR034W
YJR113C YKL155C
YKL138C-A YPR046W
YJR123W YLR367W
YGL092W YMR129W
YGL150C YLR385C
YGL060W YPR046W
YLR005W YPR056W
YDR016C YDR320C-A
YGR215W YJR101W
YOR312C YPL198W
YDR405W YHR147C
YML098W YMR005W
YKL018W YLR277C
YFL017W-A YOR308C
YLR075W YOL039W
YDR382W YGL030W
YOL051W YPL235W
YHL030W YKL145W
YGL200C YPL085W
YOL127W YPR102C
YBR152W YMR268C
YER131W YNL302C
YHL015W YOL040C
YKL203C YNL006W
YBL050W YHL031C
YDR243C YMR240C
YJL058C YJR066W
YLR275W YMR240C
YLR295C YML081C-A
YKL173W YPL213W
YDR130C YDR356W
YGR258C YPR056W
YGL044C YKL059C
YGL223C YML071C
YGL098W YGR009C
YER012W YGR253C
YER172C YGR006W
YML041C YPR023C
YIL069C YLR441C
YDR156W YNL113W
YHR090C YJR082C
YDL076C YDR207C
YGR013W YHR086W
YJL041W YPL020C
YGL098W YOR075W
YBR084C-A YBR191W
YBL090W YDR175C
YDR167W YMR112C
YBR181C YLR287C-A
YDR382W YPR102C
YDR064W YJR145C
YBL092W YHL033C
YKL185W YPL139C
YGL048C YGL141W
YDR405W YNL284C
YKL003C YNR037C
YOR189W YPR023C
YGR091W YNL147W
YHL001W YPL131W
YJL203W YPR182W
YLR116W YMR288W
YML063W YOL040C
YAL011W YGR002C
YBR084C-A YLR075W
YGL031C YNL301C
YLR287C-A YNL302C
YLR439W YNL284C
YDR016C YDR532C
YBL093C YDR073W
YHR090C YNL059C
YJR042W YLR347C
YIL126W YMR033W
YDR448W YGR002C
YLR264W YMR116C
YHL025W YNL059C
YMR112C YMR236W
YBR257W YGR030C
YDL088C YOR257W
YGR013W YPL213W
YBR175W YOR179C
YLR052W YML015C
YDR363W-A YOL038W
YNL177C YNL185C
YOR244W YPR023C
YBL090W YIL093C
YAL043C YBR175W
YGR140W YLR381W
YGL016W YLR347C
YKR006C YNL005C
YKR083C YMR094W
YBR257W YHR062C
YDR382W YKL180W
YDL005C YML015C
YOR260W YPL237W
YJR102C YLR417W
YGL066W YJR082C
YBR050C YDR028C
YDR235W YER029C
YGR005C YGR186W
YFR031C-A YOL127W
YMR227C YMR236W
YKL173W YMR268C
YDR176W YGL112C
YGR275W YJL081C
YDR116C YDR405W
YBR081C YDR145W
YDR118W YKL022C
YBL093C YHR041C
YGR091W YIL061C
YDR176W YMR223W
YGL031C YIL133C
Q0045 YMR256C
YGL019W YIL035C
YML025C YMR024W
YBL023C YDR224C
YOR319W YPR094W
YBR127C YJR033C
YHR010W YMR242C
YHR027C YOR259C
YGL070C YHR143W-A
YGR274C YNR010W
YDR190C YGL025C
YGL147C YJL177W
YER107C YNL189W
YDR418W YML073C
YBL084C YGL003C
YBR198C YML098W
YJR045C YLR008C
YDL150W YOR341W
YDR498C YGL098W
YGL031C YPR102C
YKL068W YMR153W
YBR289W YML098W
YBR084C-A YKL180W
YJR042W YNL189W
YGL141W YOR117W
YIL093C YMR188C
YDR308C YGL151W
YDR392W YOR244W
YOR141C YPR168W
YDR450W YGL189C
YBL007C YNL084C
YBR154C YDL140C
YFL017W-A YPR094W
YJL039C YML031W
YBR193C YGR104C
YDR404C YOR116C
YDL002C YDR308C
YIL021W YOR224C
YLR147C YMR125W
YML015C YPR070W
YML127W YOR290C
YDL043C YNL138W-A
YDL115C YML010W
YBR105C YMR135C
YDR418W YPL249C-A
YBL026W YIR009W
YJR094C YOL004W
YBR122C YCR003W
YBR233W-A YKR083C
YDR471W YGL031C
YDR148C YNL071W
YCR031C YJR123W
YBR191W YLR075W
YBR081C YGR252W
YFL009W YJR090C
YGL076C YHL001W
YDR176W YER148W
YDR489W YML069W
YGR140W YKL052C
YBL027W YGR148C
YBR193C YML015C
YLR340W YNL067W
YEL054C YOL127W
YDR288W YER038C
YDL143W YJL008C
