p1,p2,score
YBR253W,YOR174W,0.992577040558528
YLR074C,YNL038W,0.852119274942154
YKL081W,YKR081C,0.53606884449893
YBL050W,YER101C,0.605663741840526
YHL034C,YHR203C,0.54847104749512
YHL033C,YLR075W,0.9623202917235
YFR031C-A,YNL096C,0.836115707810694
YDR098C,YGR262C,0.962248832489507
YBR039W,YPL078C,0.823939570017432
YDL082W,YOR063W,0.921706009057121
YCR057C,YJR123W,0.796653021274911
YMR096W,YNL334C,0.682167453566882
YDR064W,YGL103W,0.921706009057121
YHR039C,YLR350W,0.681599592807704
YCL024W,YKR071C,0.525804493017608
YCL010C,YJR009C,0.669323604690042
YKL014C,YPL043W,0.990956474342312
YDR188W,YKL139W,0.525804493017608
YER029C,YHR156C,0.714709002076928
YBR106W,YLL023C,0.525943141173112
YER133W,YKL203C,0.613521188034198
YGL153W,YNL329C,0.890205016093135
YGL030W,YLR340W,0.54847104749512
YHR114W,YLR426W,0.576965202814132
YDR366C,YER071C,0.67234615284868
YDL156W,YFR024C-A,0.720344775645565
YLL039C,YML052W,0.53606884449893
YLL018C,YLL039C,0.784767882955442
YHR143W-A,YPR110C,0.54847104749512
YER086W,YOR160W,0.682167453566882
YJL047C,YPR135W,0.660028449502134
YBR261C,YMR021C,0.682167453566882
YJR123W,YPL090C,0.889168054734813
YGL008C,YHR030C,0.852119274942154
YMR106C,YPL031C,0.852119274942154
YNL232W,YOR076C,0.999661869796681
YER125W,YPR187W,0.978131291156366
YLR332W,YPR138C,0.703072689507346
YIL150C,YJL072C,0.660028449502134
YIL076W,YLR268W,0.660028449502134
YDR334W,YLR399C,0.99966057116844
YGR218W,YHR016C,0.576965202814132
YKR081C,YOR048C,0.660028449502134
YDR130C,YGL135W,0.660028449502134
YLR249W,YPL226W,0.54847104749512
YBR189W,YNL178W,0.921706009057121
YEL056W,YHR118C,0.784767882955442
YDR171W,YMR304W,0.890653121584812
YJL069C,YMR093W,0.990956474342312
YEL058W,YNL218W,0.971175843289377
YKL185W,YMR263W,0.53606884449893
YDR023W,YDR388W,0.721967550772767
YCR031C,YDR064W,0.921706009057121
YBR081C,YNL031C,0.887468114844448
YOR272W,YPL211W,0.96367697831308
YJR065C,YLR370C,0.999995859681043
YDL116W,YMR153W,0.900147115238577
YCL010C,YMR186W,0.764303653422268
YAL053W,YNL192W,0.703072689507346
YDL136W,YOR290C,0.53606884449893
YLR096W,YNL207W,0.753242918792004
YLL039C,YPL262W,0.53606884449893
YDL155W,YGL197W,0.931393524347578
YGL076C,YPL131W,0.54847104749512
YER151C,YKL029C,0.753242918792004
YIL131C,YMR144W,0.852119274942154
YPL178W,YPR057W,0.53606884449893
YNL209W,YPL106C,0.998994155203179
YDL185W,YMR054W,0.815660413330478
YDR166C,YPR055W,0.999916758831635
YLL039C,YOR284W,0.53606884449893
YDR087C,YPL131W,0.790521651322224
YHR086W,YML049C,0.790521651322224
YMR140W,YPL203W,0.661672800135991
YDR496C,YKL014C,0.921706009057121
YFL026W,YGL089C,0.823939570017432
YJR065C,YMR109W,0.660028449502134
YLL045C,YNL069C,0.921706009057121
YLR265C,YMR106C,0.884419344852077
YNL306W,YPL118W,0.957795592557016
YEL037C,YHL030W,0.824118856508057
YGR106C,YNL190W,0.703072689507346
YDL226C,YLL039C,0.784767882955442
YDR337W,YOR158W,0.921706009057121
YGL014W,YNL096C,0.836115707810694
YKR084C,YNL178W,0.762979683972912
YHR203C,YLR075W,0.859922722080967
YBL023C,YBR126C,0.824118856508057
YLL039C,YPL231W,0.784767882955442
YCL059C,YDR449C,0.973739192376162
