From	To
P02721	bta:282690
Q05778	sce:YLR199C
Q07157	hsa:7082
P41593	mmu:19228
P35606	hsa:9276
P62160	ocu:100352392
P30138	ecj:JW3956
P30138	eco:b3992
P62825	cfa:100499482
P05631	bta:327668
P62258	hsa:7531
O15533	hsa:6892
P00157	bta:3283889
Q61584	mmu:14359
P00429	bta:100270792
E1Q1H0	hpm:HPSJM_06705
Q8DIQ1	tel:tlr1530
P05737	sce:YGL076C
C0Q2T4	sei:SPC_4003
P70188	mmu:16579
P37889	mmu:14115
P19491	rno:29627
G5DGD4	sly:101264936
Q8R4I4	mmu:71828
P01286	hsa:2691
P40967	hsa:6490
P20433	sce:YJL140W
O08849	mmu:19735
P51843	hsa:190
Q93SX0	ana:all2453
P0ABJ1	ecj:JW0422
P0ABJ1	eco:b0432
O88689	mmu:100384868
O88689	mmu:12936
Q9WTJ5	mmu:51801
Q05516	hsa:7704
Q5U2N4	rno:299618
Q8QMP2	vg:1486082
P24183	ecj:JW1470
P24183	eco:b1474
Q05793	mmu:15530
P0AEY0	ece:Z5632
P0AEY0	ecs:ECs_5017
Q6PFX9	mmu:21951
P10415	hsa:596
P37727	rno:24942
Q92968	hsa:5194
Q9WVS0	mmu:54167
P16333	hsa:4690
Q9X1R4	tma:TM1578
Q5T3J3	hsa:55791
O95150	hsa:9966
Q4G050	rno:500526
Q15750	hsa:10454
P57744	sce:YJR135W-A
Q16655	hsa:2315
Q15406	hsa:2649
Q9Y615	hsa:10881
Q9H213	hsa:28986
P00044	sce:YJR048W
Q16630	hsa:11052
P63096	hsa:2770
Q6SW59	vg:3077579
Q922H7	mmu:68939
P18064	ath:AT2G26300
P68553	biu:2885980
P00533	hsa:1956
Q9UJU2	hsa:51176
Q8NHZ8	hsa:246184
Q80WE1	rno:24948
Q62312	mmu:21813
P00915	hsa:759
O08674	mmu:19668
P17342	hsa:4883
Q8TAE8	hsa:90480
Q7TMS5	mmu:26357
Q07813	mmu:12028
Q03147	mmu:12572
