From	To
P32600	sce:YKL203C
P04385	sce:YBR020W
P19659	sce:YOL051W
P25046	sce:YBL093C
P32585	sce:YGR104C
P36145	sce:YKR062W
Q06624	sce:YPR180W
P09733	sce:YML085C
P39937	sce:YER007W
P46954	sce:YJL089W
P33892	sce:YGL195W
P15442	sce:YDR283C
P32774	sce:YKL058W
P41818	sce:YMR311C
Q12315	sce:YDL207W
P23202	sce:YNL229C
P10592	sce:YLL024C
P11972	sce:YLR452C
Q06142	sce:YLR347C
P02309	sce:YBR009C
P02309	sce:YNL030W
Q12341	sce:YPL001W
P18480	sce:YBR289W
Q03213	sce:YMR172W
P08018	sce:YJL128C
P29461	sce:YOR208W
P40048	sce:YER075C
Q99383	sce:YOL123W
P25299	sce:YGL044C
P10961	sce:YGL073W
P28006	sce:YOR178C
P40036	sce:YER054C
P36047	sce:YKL193C
P06101	sce:YDR168W
Q03063	sce:YPL049C
P41697	sce:YLR319C
Q06706	sce:YLR384C
Q02908	sce:YPL086C
P20435	sce:YPR187W
P40457	sce:YIL149C
Q02629	sce:YKL068W
Q02630	sce:YMR047C
P16474	sce:YJL034W
Q12045	sce:YPL253C
Q03290	sce:YDR460W
Q08963	sce:YPL213W
P11914	sce:YHR024C
P38889	sce:YHR206W
P07249	sce:YMR042W
P11746	sce:YMR043W
P05085	sce:YML099C
Q08032	sce:YLR103C
P29496	sce:YLR274W
P24279	sce:YEL032W
P38132	sce:YBR202W
P40573	sce:YIR017C
P32490	sce:YOR231W
P38920	sce:YMR167W
P25847	sce:YOL090W
P14242	sce:YNL082W
P15873	sce:YBR088C
Q07980	sce:YLR035C
P33301	sce:YDR369C
Q12328	sce:YDL217C
Q03834	sce:YDR097C
P28519	sce:YMR201C
P06777	sce:YPL022W
P06839	sce:YER171W
Q00578	sce:YIL143C
P25336	sce:YCR092C
P33334	sce:YHR165C
P34077	sce:YFR002W
P49687	sce:YGL092W
P13433	sce:YFL036W
P35179	sce:YDR086C
Q04673	sce:YLR005W
Q07084	sce:YLR006C
Q12129	sce:YLR363C
P46970	sce:YJR132W
P18410	sce:YAL009W
P52593	sce:YML103C
P47054	sce:YJL039C
P38798	sce:YHR077C
P46674	sce:YDR159W
P38696	sce:YHR129C
P39875	sce:YOR033C
P16521	sce:YLR249W
P39083	sce:YOR127W
P39685	sce:YMR129W
P14064	sce:YKL109W
P06704	sce:YOR257W
P17891	sce:YGR167W
P39013	sce:YNL084C
Q12124	sce:YDL005C
P12385	sce:YBR143C
P17255	sce:YDL185W
P01149	sce:YPL187W
P40517	sce:YIL063C
P40066	sce:YER107C
Q99380	sce:YDL232W
P38121	sce:YBL035C
Q04511	sce:YML088W
Q12288	sce:YLR126C
P32873	sce:YPL115C
Q05863	sce:YLR281C
P32604	sce:YJL155C
Q12429	sce:YLR143W
Q99189	sce:YOR160W
P47170	sce:YJR138W
P36094	sce:YKL042W
P32336	sce:YOR373W
P38217	sce:YBR017C
P32767	sce:YGL016W
P32773	sce:YOR194C
P39515	sce:YJL143W
P32897	sce:YNR017W
P40064	sce:YER105C
P38181	sce:YBL079W
P39955	sce:YER047C
P54784	sce:YML065W
P54790	sce:YLL004W
P54791	sce:YPR162C
P21691	sce:YKR101W
